#{"t_start": 1681309872.803986, "env_id": "Walker2d-v2"}
r,l,t
-1.435503,12,1.44804
2.259287,13,1.458789
-7.399109,19,1.474324
-2.676362,22,1.491837
2.714973,15,1.505298
-5.245398,8,1.511881
-7.894162,13,1.521829
-3.597075,14,1.532739
-1.60048,17,1.54602
-3.56228,8,1.552517
-7.490084,21,1.568837
0.466464,41,1.600101
-0.009902,10,1.607764
-1.559034,15,1.619179
-4.749543,12,1.628219
3.525756,24,1.64655
-3.211328,9,1.653376
-2.881671,11,1.661895
0.739565,14,1.672532
5.247503,18,1.68609
-1.168673,23,1.704369
-3.35822,13,1.714825
0.722317,16,1.727652
2.966837,19,1.742571
-1.991721,23,1.760879
1.93106,13,1.771265
-0.238894,10,1.779167
-2.305704,13,1.789483
-2.431606,12,1.799078
-1.150736,11,1.808132
10.002187,31,1.832456
1.297744,11,1.841126
-3.600405,13,1.85138
-0.523017,16,1.864003
2.837209,19,1.878992
-7.573351,18,1.893463
2.585835,15,1.905375
0.517828,12,1.914768
-10.933357,14,1.925793
3.905259,14,1.93674
14.356482,25,1.956731
-5.160207,20,1.972965
0.008364,18,1.987117
-1.183464,15,1.998887
0.582441,27,2.019793
-3.825117,16,2.032224
-1.528607,10,2.040129
6.707255,19,2.055281
-3.647408,18,2.069565
-3.063021,15,2.081293
-3.346851,25,2.100991
-2.026891,17,2.114408
5.379775,25,2.133995
-0.132286,17,2.147382
0.164419,13,2.157682
3.007151,28,2.179514
1.501542,40,2.210967
-0.470081,11,2.219785
5.022732,22,2.236968
-0.992114,9,2.244112
0.082177,12,2.253646
-1.096431,11,2.26233
-1.219931,10,2.270193
11.576067,30,2.293649
-0.93615,26,2.314157
2.611858,23,2.332135
4.536688,39,2.362267
-1.468516,15,2.374379
-0.716231,12,2.384327
-4.560226,9,2.392351
-2.807033,10,2.400218
-6.480555,15,2.411963
-2.6032,10,2.419784
-4.625752,15,2.431856
0.012562,10,2.439888
-5.847287,14,2.45141
1.848525,23,2.469574
-3.664338,32,2.495268
6.380855,25,2.514943
-4.512432,11,2.523646
1.441897,13,2.533796
1.283148,17,2.54749
-4.101446,9,2.55513
-3.847527,36,2.583226
-0.649306,14,2.594475
-7.698342,16,2.6071
-5.651055,24,2.625818
-3.855594,22,2.642991
3.457531,18,2.657101
-1.733613,17,2.670459
-0.496205,10,2.67915
-2.099984,10,2.687129
-4.107172,26,2.707701
-3.312856,13,2.718106
-7.813406,16,2.731852
-3.244405,10,2.7397
12.660601,28,2.761019
-6.455576,26,2.781315
-5.681667,11,2.790483
-5.323099,14,2.802277
0.864803,14,2.813476
-4.681911,16,2.826155
2.20893,23,2.844069
-1.631514,11,2.852454
-3.568673,23,2.87127
-1.818321,14,2.882357
3.529838,22,2.899969
15.182183,28,2.921735
-8.52111,24,2.94084
2.034913,32,2.967113
3.535799,28,2.989796
2.936384,20,3.005617
-5.812516,9,3.012701
3.728338,17,3.026321
5.613326,19,3.041445
-8.62544,15,3.053411
-0.783556,14,3.60537
9.009234,23,3.626098
-1.480798,24,3.646802
-11.800326,28,3.668661
0.900301,34,3.696633
-4.178916,29,3.719267
1.946582,24,3.73825
5.190117,16,3.750829
4.711822,19,3.766379
-2.589762,9,3.773751
-2.938766,9,3.781099
-2.904472,15,3.79296
-0.259172,10,3.800848
-2.009194,12,3.810416
-1.685606,25,3.83045
-0.519781,25,3.850192
-3.166688,19,3.865155
-4.156214,13,3.875314
3.410593,25,3.894866
2.538399,27,3.916612
1.630439,17,3.930109
0.183178,13,3.940804
-0.10515,11,3.949494
-7.036665,21,3.965984
-3.70428,13,3.976976
-3.899822,30,4.00052
5.921743,31,4.024773
4.330927,35,4.052109
-2.334464,14,4.063326
-4.992119,12,4.07298
-3.257298,18,4.087011
-2.664292,13,4.097125
5.877703,21,4.113721
-4.73411,21,4.130045
-2.722885,15,4.142265
-4.987808,11,4.150981
8.707766,27,4.172009
-0.452522,17,4.185311
-0.014462,13,4.19581
-2.369423,18,4.209995
7.150824,20,4.22579
-0.241243,12,4.235365
5.498458,20,4.251162
0.952972,14,4.262187
-6.956284,23,4.280072
4.094792,19,4.294859
3.057429,19,4.309745
0.52183,16,4.322452
0.194469,36,4.350464
2.132283,16,4.363026
0.538421,14,4.374018
-4.197271,11,4.384002
-0.167763,11,4.393228
12.902086,29,4.41777
-3.576887,12,4.426905
-9.832624,21,4.442992
-5.774814,30,4.465781
-3.165299,17,4.479224
-1.724656,12,4.488961
-1.525893,12,4.498492
3.235789,30,4.522348
28.166599,43,4.556647
3.407669,14,4.5677
-2.333336,29,4.590706
-0.654501,19,4.606103
0.820703,11,4.614839
-4.055172,22,4.632724
19.090686,32,4.660525
-2.973255,18,4.675117
1.120216,30,4.698952
-3.428692,18,4.713382
1.169985,20,4.728947
-2.229545,15,4.740882
-1.105151,11,4.749442
-3.89118,19,4.764428
0.52906,15,4.776272
11.21352,29,4.798669
