#{"t_start": 1681299143.4816067, "env_id": "Walker2d-v2"}
r,l,t
-3.997147,16,5.994356
2.271332,11,6.00292
1.432847,16,6.01561
-0.151794,14,6.02647
2.228826,19,6.041163
5.359685,17,6.054554
2.942895,18,6.068537
-5.703269,15,6.080164
-0.673072,17,6.0931
7.034808,25,6.112483
2.132062,17,6.125611
4.819927,16,6.138207
-0.537326,19,6.153003
-6.717764,13,6.163296
0.25666,13,6.173378
-2.556892,12,6.182839
1.162211,22,6.199843
1.545603,30,6.222773
3.07912,24,6.241188
-1.831946,20,6.256934
-0.909662,15,6.268567
13.125236,24,6.287291
-3.188786,17,6.300473
1.818795,15,6.312111
3.140891,26,6.332184
-2.438533,9,6.339267
13.003331,29,6.361672
-0.819639,14,6.372597
-3.150056,21,6.389013
-1.445859,12,6.398525
-3.483559,12,6.407973
7.72585,35,6.434694
0.573943,24,6.4551
6.204052,21,6.471565
-6.505957,23,6.489495
20.675197,37,6.518286
-1.920012,19,6.533664
1.017279,21,6.549865
5.435949,24,6.568618
12.656889,35,6.596083
-2.199357,13,6.60613
1.989585,16,6.618571
-3.815911,22,6.635548
2.414497,14,6.646605
2.987895,14,6.657498
0.363759,13,6.667821
-4.414871,32,6.693634
7.061534,20,6.709399
1.442374,11,6.71798
-5.876021,16,6.730638
-3.697251,9,6.737571
3.409639,16,6.750013
-1.779017,15,6.761689
-0.573166,10,6.769803
-6.903094,15,6.781569
-0.386921,14,6.792357
1.867732,17,6.805443
-1.895534,30,6.828658
0.09719,25,6.848758
-4.07939,9,6.855888
6.263874,21,6.872286
-12.910596,17,6.885508
-0.716144,9,6.892568
-1.09318,29,6.915123
-5.720707,20,6.930675
3.23073,19,6.945692
0.623976,22,6.962928
-1.155241,9,6.970099
1.819422,16,6.983108
8.76844,29,7.006177
-2.47325,9,7.013161
-0.600056,13,7.023608
1.572159,26,7.044806
0.192564,14,7.055772
1.596559,18,7.070973
-5.773101,13,7.081341
-3.355011,11,7.089968
3.612541,18,7.10387
-0.871604,12,7.113289
1.458666,27,7.134632
-1.320212,13,7.146229
-3.196805,9,7.15333
1.957055,16,7.165834
0.836772,13,7.175963
0.286268,11,7.184756
-0.685274,21,7.397821
13.783568,24,7.422714
0.617399,21,7.43918
-0.450186,9,7.4464
1.057226,21,7.463191
5.644986,16,7.475579
4.38769,17,7.488964
1.577339,13,7.499255
3.851431,39,7.530501
6.76547,23,7.548577
7.088836,28,7.570431
0.049804,14,7.581488
-0.015775,13,7.591592
9.157017,22,7.608926
-6.131128,16,7.621305
5.352359,20,7.637507
0.59645,12,7.646845
10.318269,29,7.669441
-1.192141,10,7.677395
4.800702,26,7.697707
-2.42886,8,7.704136
0.860068,22,7.721306
0.344905,24,7.742071
-3.736825,19,7.757475
-1.388109,9,7.764851
1.452124,16,7.778346
-0.180486,13,7.788561
-0.219371,13,7.798811
-2.326557,16,7.811235
-0.039856,25,7.830717
1.842109,24,7.849397
3.501954,19,7.864194
1.959637,11,7.873662
0.098142,9,7.881186
-7.609707,13,7.891705
-2.461463,13,7.902191
19.295608,36,7.931688
-8.918284,21,7.948518
2.53656,25,7.967812
-2.808506,14,7.978546
5.111185,31,8.002762
-3.045635,11,8.011538
-5.452973,17,8.024493
24.980808,48,8.061288
1.422963,15,8.073372
-2.009076,40,8.104561
-0.751771,13,8.114701
11.29471,39,8.145143
10.080621,35,8.172689
5.38242,14,8.183932
-3.997962,17,8.197498
-1.614174,12,8.207095
-0.086205,10,8.215052
-1.984332,27,8.235741
1.788839,22,8.252772
-0.6841,10,8.260488
-2.989343,14,8.271334
19.095343,61,8.318173
3.760578,20,8.333743
-0.947243,18,8.347773
2.213033,20,8.363193
-6.485505,17,8.376278
1.838528,13,8.386473
1.017888,13,8.396673
-2.602798,11,8.405232
-4.936719,16,8.4175
0.882131,11,8.426172
5.413446,22,8.443297
0.984927,16,8.455828
4.241672,17,8.469335
-7.009514,13,8.479259
5.08366,18,8.493353
7.064784,22,8.510689
-4.229273,7,8.516285
-4.397002,19,8.531098
2.762878,16,8.543414
-1.334901,9,8.55037
13.291485,49,8.588224
26.264963,40,8.619048
-5.900757,17,8.632372
-4.270725,16,8.64476
2.432634,20,8.660363
5.532016,24,8.679152
5.729878,26,8.699079
3.525054,14,8.709985
8.90741,20,8.72541
8.678507,21,8.741549
-3.05816,11,8.750239
7.80504,26,8.770863
-1.099055,13,8.780984
-3.396562,10,8.78879
13.135635,25,8.808071
1.486777,13,8.818181
0.144663,25,8.8376
-0.90467,22,8.854661
4.145737,19,8.869433
3.706745,15,8.881099
-2.633901,8,8.887368
-4.181758,10,8.895366
3.312912,19,8.910307
8.70234,27,8.932078
-1.060186,10,8.939812
5.403071,17,8.952871
0.209974,15,8.964486
-0.11048,29,8.986792
-0.331256,24,9.198756
4.547975,19,9.216456
-5.545086,19,9.232088
3.888145,25,9.25202
25.240969,56,9.295557
-1.273639,19,9.310887
-7.696512,22,9.328338
5.618735,29,9.350589
12.344565,31,9.374239
1.543272,14,9.38462
2.463977,16,9.396799
-0.637792,23,9.414215
2.000868,22,9.430637
0.695806,11,9.438915
0.452324,17,9.451723
6.914773,27,9.472218
1.098385,25,9.491025
6.736453,20,9.505994
12.164842,28,9.526808
-0.087737,11,9.535196
-3.726113,9,9.541857
-0.414662,10,9.549505
6.279192,23,9.566703
3.287434,21,9.582394
7.498682,18,9.595866
2.395867,16,9.607841
7.882277,31,9.631125
0.503982,19,9.645991
-2.06993,17,9.659058
16.960481,38,9.688197
4.523515,31,9.711961
3.51647,25,9.731092
-1.788077,16,9.743638
22.848971,44,9.777344
-0.945926,15,9.789175
-0.938937,13,9.799415
15.160821,26,9.819885
-1.62698,16,9.832449
12.999554,29,9.854739
4.10383,22,9.871671
5.663694,25,9.89108
4.814023,29,9.913483
-2.420341,14,9.924548
-4.125474,17,9.937735
-2.491654,10,9.945452
1.761004,12,9.954541
-3.030654,11,9.962841
12.552159,46,9.997381
0.603798,11,10.005756
4.614562,27,10.026912
2.26362,20,10.042151
0.469627,12,10.051217
9.457069,27,10.071582
12.63062,29,10.092698
7.438877,23,10.108763
-2.976162,23,10.125026
-0.835966,27,10.145275
6.469828,25,10.163905
-0.876322,10,10.171407
0.618401,12,10.180514
6.764306,27,10.200758
3.308888,22,10.217302
4.714907,14,10.227861
-9.873958,14,10.238311
9.07896,25,10.256901
7.642454,36,10.283983
-2.121962,23,10.301103
-7.116847,14,10.31171
0.769764,17,10.329551
-1.129683,29,10.358835
2.315381,27,10.38048
0.826499,15,10.392031
-4.774204,8,10.398451
3.815159,14,10.409569
12.422594,34,10.438608
-0.855651,23,10.456845
10.154871,46,10.492583
2.663205,14,10.503415
0.241118,18,10.51904
22.899967,37,10.547215
1.866023,21,10.563439
13.9964,39,10.593442
3.562051,22,10.610487
0.295818,19,10.625284
9.952823,25,10.644365
0.827843,17,10.657441
0.496914,20,10.673145
0.162609,15,10.684757
-4.865771,20,10.699922
-3.225463,9,10.706903
0.97672,14,10.717828
8.580863,23,10.735865
11.226156,31,10.759776
17.737139,34,10.985035
20.029531,35,11.014444
1.932108,11,11.023186
-1.553844,12,11.032713
20.50616,43,11.065621
33.460586,57,11.108684
-1.995385,16,11.120851
1.355052,38,11.149901
21.153991,46,11.186364
-3.239721,6,11.191239
-5.056217,26,11.211676
2.142519,21,11.22828
5.23525,19,11.243939
-0.869682,10,11.252276
10.383506,30,11.275738
5.598484,17,11.289116
-4.533604,20,11.305066
1.534961,27,11.32599
3.909088,19,11.341026
5.892814,17,11.354392
-0.042564,22,11.371591
17.370373,32,11.397668
14.631596,29,11.420546
-4.904407,18,11.434739
5.998599,21,11.451065
11.911023,28,11.47283
-2.737465,9,11.47995
-0.648723,14,11.490675
-2.058048,9,11.497814
12.015783,37,11.526514
5.255108,20,11.542164
2.274461,12,11.551537
-2.931366,18,11.565581
10.445218,31,11.589674
4.933896,23,11.607738
-0.079466,15,11.619424
11.573468,26,11.639799
15.986919,29,11.66292
-0.832468,30,11.68623
10.448464,26,11.705837
2.442369,28,11.726892
15.513949,37,11.754638
-3.312168,21,11.770424
6.600065,20,11.78561
25.26794,44,11.818701
8.421536,19,11.833149
-6.785598,16,11.845452
-1.869358,11,11.853883
0.812454,18,11.867675
-1.028463,17,11.880514
7.669231,28,11.901676
0.786934,18,11.915435
5.960256,19,11.930089
31.871878,49,11.96695
3.934059,16,11.979251
9.306866,33,12.003813
1.204159,14,12.014613
3.724617,17,12.027516
3.67165,19,12.041684
-1.569944,8,12.047836
-1.601458,14,12.058492
-1.562635,9,12.065343
5.825039,23,12.08293
8.199499,28,12.103914
10.171217,58,12.147316
6.230947,20,12.16253
13.6925,28,12.183258
9.172342,31,12.20643
2.972115,14,12.217043
-0.192108,12,12.226282
2.513874,13,12.236132
3.566364,34,12.26174
22.671329,32,12.285772
3.97744,19,12.300112
10.723448,30,12.3225
6.392049,17,12.335454
-3.391992,14,12.346114
3.735548,16,12.358637
-0.521876,36,12.38651
