EpLenMean,Tsallis-q,surrgain,entropy,TimeElapsed,entloss,EpThisIter,explained_variance_tdlam_before,optimgain,EpisodesSoFar,EpRewMean,meankl,TimestepsSoFar
145.375,1.0,0.014512776,8.153694,74.29641485214233,0.0,15,0.880299337208271,0.014512776,1323,228.30888609999997,0.008784658,83968
152.725,1.0,0.009648131,8.150393,76.08156323432922,0.0,12,0.8862443119287491,0.009648131,1335,244.91083852499997,0.0047542197,86016
158.475,1.0,0.01141331,8.1547785,77.87512493133545,0.0,12,0.9398102760314941,0.01141331,1347,249.21192060000004,0.0059638415,88064
159.975,1.0,0.009472268,8.15869,79.63301420211792,0.0,13,0.9324010163545609,0.009472268,1360,246.74066425,0.0050840573,90112
170.8,1.0,0.01155164,8.153802,81.42321968078613,0.0,11,0.9425624758005142,0.01155164,1371,258.5198993,0.005942554,92160
170.6,1.0,0.018804815,8.142675,83.16741347312927,0.0,12,0.9260988458991051,0.018804815,1383,263.43199842499996,0.012520382,94208
176.475,1.0,0.0077016596,8.136106,84.91932845115662,0.0,11,0.9160072952508926,0.0077016596,1394,279.62702780000006,0.007514598,96256
179.75,1.0,0.01258827,8.127066,86.73131489753723,0.0,11,0.9394647963345051,0.01258827,1405,293.46875715,0.005992199,98304
171.825,1.0,0.018445205,8.115013,88.4625174999237,0.0,13,0.898960568010807,0.018445205,1418,288.89326025,0.012037115,100352
180.0,1.0,0.015373922,8.105372,90.28076076507568,0.0,10,0.9254784360527992,0.015373922,1428,295.208491225,0.013458919,102400
184.875,1.0,0.015219238,8.09646,92.08050227165222,0.0,11,0.9502521976828575,0.015219238,1439,306.0451534,0.009830982,104448
187.725,1.0,0.0085171135,8.09304,93.88732361793518,0.0,10,0.9508885219693184,0.0085171135,1449,304.615241625,0.0055561485,106496
193.925,1.0,0.013196554,8.089104,95.68341064453125,0.0,11,0.9225163757801056,0.013196554,1460,319.58717832499997,0.0075279437,108544
183.6,1.0,0.006793665,8.083281,97.48629689216614,0.0,12,0.9609543904662132,0.006793665,1472,309.943926175,0.0043085814,110592
180.65,1.0,0.014288817,8.079226,99.29134321212769,0.0,12,0.9398737922310829,0.014288817,1484,305.634277725,0.005945642,112640
188.5,1.0,0.008008471,8.073606,101.07548809051514,0.0,9,0.9561113230884075,0.008008471,1493,315.75931597500005,0.0041850167,114688
189.075,1.0,0.011254968,8.070314,102.88301467895508,0.0,11,0.94852115213871,0.011254968,1504,324.396246775,0.0054694596,116736
191.45,1.0,0.010211073,8.067513,104.67537355422974,0.0,11,0.9655636474490166,0.010211073,1515,335.2770321,0.004278133,118784
